unique_name	sample_name	sample_group	patientID	digest_method	CD45_isolation	SMK
1a_CD45pos	1a	DE2_CD45pos	1	Sequential	positive	1
1b_CD45pos	1b	DE2_CD45pos	1	Simultaneous	positive	2
2a_CD45pos	2a	DE2_CD45pos	2	Sequential	positive	3
2b_CD45pos	2b	DE2_CD45pos	2	Simultaneous	positive	4
3a_CD45pos	3a	DE2_CD45pos	3	Sequential	positive	5
3b_CD45pos	3b	DE2_CD45pos	3	Simultaneous	positive	6
4a_CD45pos	4a	DE2_CD45pos	4	Sequential	positive	7
4b_CD45pos	4b	DE2_CD45pos	4	Simultaneous	positive	8
5c_CD45pos	5c	DE2_CD45pos	5	Overnight	positive	9
NA		NA	DE2_CD45pos	NA	NA		NA		Undetermined
NA		NA	DE2_CD45pos	NA	NA		NA		Multiplet
1a_CD45neg	1a	DE2_CD45neg	1	Sequential	negative	1
1b_CD45neg	1b	DE2_CD45neg	1	Simultaneous	negative	2
2a_CD45neg	2a	DE2_CD45neg	2	Sequential	negative	3
2b_CD45neg	2b	DE2_CD45neg	2	Simultaneous	negative	4
3a_CD45neg	3a	DE2_CD45neg	3	Sequential	negative	5
3b_CD45neg	3b	DE2_CD45neg	3	Simultaneous	negative	6
4a_CD45neg	4a	DE2_CD45neg	4	Sequential	negative	7
4b_CD45neg	4b	DE2_CD45neg	4	Simultaneous	negative	8
5c_CD45neg	5c	DE2_CD45neg	5	Overnight	negative	9
NA		NA	DE2_CD45neg	NA	NA		NA		Undetermined
NA		NA	DE2_CD45neg	NA	NA		NA		Multiplet
DE1_CD45pos	DE1_CD45pos	DE1_CD45pos	DE1_CD45pos	Sequential	positive	Undetermined
